parentCode,code,name,notes,isAutoPaymentMonthly,autoPaymentAmount
8500,8501,specjalistyczne oprogramowanie,,,
8500,8502,"vpsy, domeny, hosting",,,
8500,8503,szkolenia,,,
8500,8504,ksiazki i rozwoj,,,
8500,8505,"sprzet do pracy, technologia, elektronika",,,
,8600,Zieleniewo,,,
8600,8601,"usterki, naprawy, modernizacja",,,
8600,8602,inne rachunki i oplaty ktore nie pokrywa najemca,,,
,9000,konsultacje i psychologia i dobrostan,,,
9000,9001,konsultacje michal,,,
9000,9002,konsultacje paula,,,
9000,9003,konsultacje dzieci,,,
